SU040A;https://profit-msk.ru/hp/cartridges/su040a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Заменил Samsung 
CLT-C506L";860 ;-;300 ;7757 ;-
SU049A;https://profit-msk.ru/hp/cartridges/su049a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Заменил Samsung 
CLT-C506S";-;-;-;6723 ;-
SU173A;https://profit-msk.ru/hp/cartridges/su173a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 6,000 стр.)
Заменил Samsung 
CLT-K506L";1080 ;-;300 ;7757 ;-
SU182A;https://profit-msk.ru/hp/cartridges/su182a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 2,000 стр.)
Заменил Samsung 
CLT-K506S";-;-;-;6058 ;-
SU307A;https://profit-msk.ru/hp/cartridges/su307a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Заменил Samsung 
CLT-M506L";860 ;-;300 ;7757 ;-
SU316A;https://profit-msk.ru/hp/cartridges/su316a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Заменил Samsung 
CLT-M506S";-;-;-;6723 ;-
SU437A;https://profit-msk.ru/hp/cartridges/su437a.html;"Samsung CLP-680 / CLX-6260 / ProXpress C2620 / C2670 / C3010 / C3060
(Контейнер для отработанного тонера / чёрный 14,000 стр. / цветные 3,500 стр.)
Заменил Samsung 
CLT-W506";-;-;-;2512 ;-
SU517A;https://profit-msk.ru/hp/cartridges/su517a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Заменил Samsung 
CLT-Y506L";860 ;-;300 ;7757 ;-
SU526A;https://profit-msk.ru/hp/cartridges/su526a.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Заменил Samsung 
CLT-Y506S";-;-;-;6723 ;-
CLT-C506L;https://profit-msk.ru/samsung/cartridges/clt-c506l.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Замена HP SU040A";860 ;-;300 ;;SuperFine - 3102 от 3102 
CLT-C506S;https://profit-msk.ru/samsung/cartridges/clt-c506s.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Замена HP SU049A";-;-;-;;-
CLT-K506L;https://profit-msk.ru/samsung/cartridges/clt-k506l.html;"Samsung CLP-680 / CLX-6260
(Картридж / 6,000 стр.)
Замена HP SU173A";1080 ;-;300 ;;SuperFine - 3527 от 3527 
CLT-K506S;https://profit-msk.ru/samsung/cartridges/clt-k506s.html;"Samsung CLP-680 / CLX-6260
(Картридж / 2,000 стр.)
Замена HP SU182A";-;-;-;;-
CLT-M506L;https://profit-msk.ru/samsung/cartridges/clt-m506l.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Замена HP SU307A";860 ;-;300 ;;SuperFine - 3102 от 3102 
CLT-M506S;https://profit-msk.ru/samsung/cartridges/clt-m506s.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Замена HP SU316A";-;-;-;;-
CLT-W506;https://profit-msk.ru/samsung/cartridges/clt-w506.html;"Samsung CLP-680 / CLX-6260 / ProXpress C2620 / C2670 / C3010 / C3060
(Контейнер для отработанного тонера / чёрный 14,000 стр. / цветные 3,500 стр.)
Замена HP SU437A";-;-;-;;-
CLT-Y506L;https://profit-msk.ru/samsung/cartridges/clt-y506l.html;"Samsung CLP-680 / CLX-6260
(Картридж / 3,500 стр.)
Замена HP SU517A";860 ;-;300 ;;SuperFine - 3102 от 3102 
CLT-Y506S;https://profit-msk.ru/samsung/cartridges/clt-y506s.html;"Samsung CLP-680 / CLX-6260
(Картридж / 1,500 стр.)
Замена HP SU526A";-;-;-;;-
