CLP-510D2C;https://profit-msk.ru/samsung/cartridges/clp-510d2c.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 2,000 стр.)
Снято с производства";1180 ;-;200 ;;-
CLP-510D2M;https://profit-msk.ru/samsung/cartridges/clp-510d2m.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 2,000 стр.)
Снято с производства";1240 ;-;200 ;;-
CLP-510D2Y;https://profit-msk.ru/samsung/cartridges/clp-510d2y.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 2,000 стр.)
Снято с производства";1180 ;-;200 ;;-
CLP-510D3K;https://profit-msk.ru/samsung/cartridges/clp-510d3k.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 3,000 стр.)
Снято с производства";1100 ;-;200 ;;-
CLP-510D5C;https://profit-msk.ru/samsung/cartridges/clp-510d5c.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 5,000 стр.)
Снято с производства";2180 ;-;100 ;;-
CLP-510D5M;https://profit-msk.ru/samsung/cartridges/clp-510d5m.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 5,000 стр.)
Снято с производства";2330 ;-;100 ;;-
CLP-510D5Y;https://profit-msk.ru/samsung/cartridges/clp-510d5y.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 5,000 стр.)
Снято с производства";2180 ;-;100 ;;-
CLP-510D7K;https://profit-msk.ru/samsung/cartridges/clp-510d7k.html;"Samsung CLP-510 / 511 / 515
(Тонер-картридж / 7,000 стр.)
Снято с производства";1890 ;-;100 ;;-
CLP-510RB;https://profit-msk.ru/samsung/cartridges/clp-510rb.html;"Samsung CLP-510 / 511 / 515
(Драм-картридж / чёрный 50,000 стр. / цветные 12,500 стр.)
Снято с производства";-;-;-;;-
CLP-510RT;https://profit-msk.ru/samsung/cartridges/clp-510rt.html;"Samsung CLP-510 / 511 / 515
(Ремень для переноса изображения / чёрный 50,000 стр. / цветные 12,500 стр.)
Снято с производства";-;-;-;;-
CLP-500WB;https://profit-msk.ru/samsung/cartridges/clp-500wb.html;"Samsung CLP-500 / 510 / 511 / 515 / 550
(Контейнер для отработанного тонера / чёрный 12,000 стр. / цветные 3,000 стр.)
Снято с производства";-;-;-;;-
